Molecule Name,Total Molweight,Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Rotatable Bonds,Ligand,Binding Affinity,Extracted_ZINC,Is_Correct_Alignment
ZINC49171760,438.618,438.618,-1.8432,-0.62,7,4,352.92,0.19067,69.57,5.8797,none,none,none,none,8,hur_model_ZINC49171760_uff_E=861.41,-6.2,ZINC49171760,True
ZINC15675500,400.421,400.421,-1.115,-2.947,9,2,314.51,0.36454,110.96,2.712,none,none,none,none,4,hur_model_ZINC15675500_uff_E=945.43,-8.3,ZINC15675500,True
ZINC49171762,446.573,446.573,0.4301,-2.202,7,3,339.75,0.18781,78.27,5.9711,none,none,none,none,7,hur_model_ZINC49171762_uff_E=977.59,-8.0,ZINC49171762,True
ZINC49171765,408.568,408.568,0.5889,-1.875,6,3,313.56,0.1585,65.13,7.0587,none,none,none,none,6,hur_model_ZINC49171765_uff_E=781.60,-7.7,ZINC49171765,True
ZINC20503864,334.527,334.527,-1.7529,-1.692,5,2,252.53,0.31153,87.53,5.2967,none,none,none,none,4,hur_model_ZINC20503864_uff_E=998.15,-5.8,ZINC20503864,True
ZINC49171768,424.567,424.567,-0.2692,-1.118,7,3,326.32,0.18295,74.36,4.7694,none,none,none,none,8,hur_model_ZINC49171768_uff_E=819.42,-7.3,ZINC49171768,True
ZINC20503865,410.625,410.625,-0.1586,-2.282,5,2,312.29,0.25191,87.53,-1.7101,none,none,none,none,5,hur_model_ZINC20503865_uff_E=983.81,-7.5,ZINC20503865,True
ZINC49171771,449.621,449.621,0.0363,-0.404,7,2,364.49,0.19301,59.53,6.1508,none,none,none,none,5,hur_model_ZINC49171771_uff_E=856.41,-8.0,ZINC49171771,True
ZINC15675506,388.45,388.45,0.2202,-3.68,7,2,314.96,0.28131,81.27,2.5975,none,none,none,none,5,hur_model_ZINC15675506_uff_E=728.61,-8.3,ZINC15675506,True
ZINC20503867,396.598,396.598,-0.5025,-1.938,5,2,300.03,0.26221,87.53,-2.7117,none,none,none,none,5,hur_model_ZINC20503867_uff_E=979.89,-6.9,ZINC20503867,True
ZINC20503869,426.624,426.624,-0.5725,-1.956,6,2,322.29,0.27512,96.76,4.946,none,none,none,none,6,hur_model_ZINC20503869_uff_E=1009.81,-6.9,ZINC20503869,True
ZINC49171774,436.578,436.578,0.0588,-0.902,7,2,326.92,0.15842,65.57,5.4677,none,none,none,none,5,hur_model_ZINC49171774_uff_E=910.92,-7.7,ZINC49171774,True
ZINC20503871,431.043,431.043,0.1035,-2.674,5,2,315.45,0.24939,87.53,5.5463,none,none,none,none,5,hur_model_ZINC20503871_uff_E=978.56,-7.0,ZINC20503871,True
ZINC49171777,404.536,404.536,-0.1495,-1.821,6,3,314.11,0.15822,65.13,5.9881,none,none,none,none,6,hur_model_ZINC49171777_uff_E=906.41,-6.3,ZINC49171777,True
ZINC15675516,401.493,401.493,0.1866,-3.698,7,2,327.52,0.25082,75.28,3.3798,none,high,none,none,5,hur_model_ZINC15675516_uff_E=756.74,-7.7,ZINC15675516,True
ZINC49171779,408.568,408.568,0.684,-1.767,6,3,316.32,0.15712,65.13,6.197,none,none,none,none,7,hur_model_ZINC49171779_uff_E=774.08,-7.5,ZINC49171779,True
