Ligand,Binding Affinity
hur_model_ZINC15675880_uff_E=873.26,-9
hur_model_ZINC12603059_uff_E=692.80,-9
hur_model_ZINC22752898_uff_E=403.52,-9
hur_model_ZINC22752834_uff_E=532.58,-9
hur_model_ZINC20504069_uff_E=630.06,-9
hur_model_ZINC49171813_uff_E=904.92,-9
hur_model_ZINC15675588_uff_E=733.75,-9
hur_model_ZINC20504069_uff_E=619.33,-9
hur_model_ZINC15707240_uff_E=1116.18,-9
hur_model_ZINC15707288_uff_E=949.83,-9
hur_model_ZINC08779971_uff_E=419.97,-9
hur_model_ZINC72320732_uff_E=741.02,-9
hur_model_ZINC12530134_uff_E=899.01,-9
hur_model_ZINC67870820_uff_E=878.40,-9
hur_model_ZINC67870835_uff_E=779.67,-9
hur_model_ZINC67870836_uff_E=817.72,-9
hur_model_ZINC77267252_uff_E=638.46,-9
hur_model_ZINC77267451_uff_E=651.28,-9
hur_model_ZINC04221980_uff_E=1129.57,-9
hur_model_ZINC77267538_uff_E=1112.05,-9
hur_model_ZINC05412523_uff_E=967.73,-9
hur_model_ZINC20462752_uff_E=1048.52,-9
hur_model_ZINC15675542_uff_E=953.85,-9
hur_model_ZINC15675622_uff_E=933.06,-9
hur_model_ZINC15675624_uff_E=749.01,-9
hur_model_ZINC15675764_uff_E=772.67,-9
hur_model_ZINC15675832_uff_E=766.80,-9
hur_model_ZINC22936740_uff_E=728.23,-9
hur_model_ZINC67878808_uff_E=736.30,-9
hur_model_ZINC15675938_uff_E=844.28,-9
hur_model_ZINC67878890_uff_E=783.98,-9
hur_model_ZINC15675940_uff_E=788.17,-9
hur_model_ZINC15675946_uff_E=834.22,-9
hur_model_ZINC15675950_uff_E=903.72,-9
hur_model_ZINC20464366_uff_E=785.05,-9
hur_model_ZINC67879027_uff_E=745.90,-9
hur_model_ZINC49155224_uff_E=915.93,-9
hur_model_ZINC20464494_uff_E=811.51,-9
hur_model_ZINC20464497_uff_E=811.61,-9
hur_model_ZINC15676068_uff_E=829.18,-9
hur_model_ZINC15676068_uff_E=829.18,-9
hur_model_ZINC15676068_uff_E=829.18,-9
hur_model_ZINC20464531_uff_E=1069.23,-9
hur_model_ZINC15676357_uff_E=649.18,-9
hur_model_ZINC67879604_uff_E=733.38,-9
hur_model_ZINC67879604_uff_E=733.38,-9
hur_model_ZINC13137083_uff_E=390.09,-9
hur_model_ZINC15707234_uff_E=911.62,-9
hur_model_ZINC15707240_uff_E=1116.05,-9
hur_model_ZINC15707299_uff_E=773.13,-9
hur_model_ZINC15707355_uff_E=907.64,-9
hur_model_ZINC09186673_uff_E=367.96,-9
hur_model_ZINC20503197_uff_E=701.24,-9
hur_model_ZINC49170558_uff_E=733.75,-9
hur_model_ZINC35424699_uff_E=830.57,-8.9
hur_model_ZINC15675936_uff_E=793.60,-8.9
hur_model_ZINC15707234_uff_E=899.13,-8.9
hur_model_ZINC31153771_uff_E=600.77,-8.9
hur_model_ZINC15675762_uff_E=709.95,-8.9
hur_model_ZINC15675660_uff_E=688.85,-8.9
hur_model_ZINC35442719_uff_E=986.83,-8.9
hur_model_ZINC22752860_uff_E=558.84,-8.9
hur_model_ZINC22752845_uff_E=396.60,-8.9
hur_model_ZINC20504056_uff_E=599.13,-8.9
hur_model_ZINC15675764_uff_E=766.99,-8.9
hur_model_ZINC20504052_uff_E=619.07,-8.9
hur_model_ZINC20504052_uff_E=628.15,-8.9
hur_model_ZINC20504046_uff_E=618.78,-8.9
hur_model_ZINC20504046_uff_E=627.80,-8.9
hur_model_ZINC15676357_uff_E=619.23,-8.9
hur_model_ZINC15675542_uff_E=943.38,-8.9
hur_model_ZINC15707240_uff_E=1116.18,-8.9
hur_model_ZINC31153552_uff_E=719.14,-8.9
hur_model_ZINC04179475_uff_E=405.09,-8.9
hur_model_ZINC15707240_uff_E=1101.66,-8.9
hur_model_ZINC08779971_uff_E=419.97,-8.9
hur_model_ZINC08779971_uff_E=419.97,-8.9
hur_model_ZINC08780021_uff_E=497.21,-8.9
hur_model_ZINC22752860_uff_E=554.38,-8.9
hur_model_ZINC72320682_uff_E=833.35,-8.9
hur_model_ZINC72320703_uff_E=741.96,-8.9
hur_model_ZINC72320706_uff_E=797.75,-8.9
hur_model_ZINC12462595_uff_E=1778.18,-8.9
hur_model_ZINC13137083_uff_E=403.16,-8.9
hur_model_ZINC67870818_uff_E=747.29,-8.9
hur_model_ZINC67870820_uff_E=877.28,-8.9
hur_model_ZINC67870820_uff_E=878.40,-8.9
hur_model_ZINC67870835_uff_E=779.67,-8.9
hur_model_ZINC77267098_uff_E=672.81,-8.9
hur_model_ZINC77267098_uff_E=672.81,-8.9
hur_model_ZINC77267098_uff_E=672.81,-8.9
hur_model_ZINC77267217_uff_E=636.03,-8.9
hur_model_ZINC77267245_uff_E=655.83,-8.9
hur_model_ZINC77267252_uff_E=638.46,-8.9
hur_model_ZINC77267252_uff_E=638.46,-8.9
hur_model_ZINC77267268_uff_E=699.31,-8.9
hur_model_ZINC77267268_uff_E=699.31,-8.9
hur_model_ZINC77267272_uff_E=697.99,-8.9
hur_model_ZINC77267451_uff_E=651.28,-8.9
hur_model_ZINC77267499_uff_E=570.06,-8.9
hur_model_ZINC04221980_uff_E=1129.57,-8.9
hur_model_ZINC77267517_uff_E=621.61,-8.9
hur_model_ZINC15675542_uff_E=953.85,-8.9
hur_model_ZINC15675548_uff_E=727.31,-8.9
hur_model_ZINC15675622_uff_E=943.45,-8.9
hur_model_ZINC15675624_uff_E=738.86,-8.9
hur_model_ZINC15675652_uff_E=762.54,-8.9
hur_model_ZINC15675660_uff_E=688.20,-8.9
hur_model_ZINC13137083_uff_E=390.44,-8.9
hur_model_ZINC15675750_uff_E=720.79,-8.9
hur_model_ZINC15675774_uff_E=819.80,-8.9
hur_model_ZINC15675780_uff_E=816.15,-8.9
hur_model_ZINC15675916_uff_E=671.49,-8.9
hur_model_ZINC49154966_uff_E=889.71,-8.9
hur_model_ZINC15675932_uff_E=973.80,-8.9
hur_model_ZINC15675938_uff_E=844.28,-8.9
hur_model_ZINC15675938_uff_E=844.28,-8.9
hur_model_ZINC15675985_uff_E=817.08,-8.9
hur_model_ZINC15676026_uff_E=758.62,-8.9
